zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Elmhurst,Queens,908,3.78,20.11,20.85,15.04,Residential,9
Claremont/Bathgate,Bronx,138,3.78,20.28,20.61,7.09,Residential,9
Brownsville,Brooklyn,226,3.82,20.07,21.99,43.4,Residential,9
Rego Park,Queens,467,4.0,19.88,22.94,16.5,Residential,9
Springfield Gardens South,Queens,136,4.01,19.22,22.7,6.69,Residential,9
Bensonhurst East,Brooklyn,371,4.05,20.66,21.75,6.67,Residential,9
Morrisania/Melrose,Bronx,164,4.11,19.5,22.79,18.68,Residential,9
South Ozone Park,Queens,622,4.11,19.84,22.85,8.69,Residential,9
Arrochar/Fort Wadsworth,Staten Island,86,4.12,19.56,21.68,6.3,Residential,9
Hunts Point,Bronx,186,4.13,19.48,25.94,7.41,Residential,9
Queens Village,Queens,262,4.17,21.04,23.36,14.35,Residential,9
Melrose South,Bronx,258,4.19,20.07,23.06,12.05,Residential,9
Flatlands,Brooklyn,448,4.19,20.53,23.6,6.92,Residential,9
Bath Beach,Brooklyn,186,4.19,19.88,23.18,6.75,Residential,9
Mariners Harbor,Staten Island,141,4.24,22.35,21.13,6.54,Residential,9
Murray Hill-Queens,Queens,343,4.24,19.84,24.13,6.91,Residential,9
Van Cortlandt Park,Bronx,85,4.31,20.02,23.67,6.53,Residential,9
Queensbridge/Ravenswood,Queens,260,4.37,20.05,23.89,9.95,Residential,9
Erasmus,Brooklyn,304,4.38,18.47,26.07,14.26,Residential,9
East Flushing,Queens,149,4.44,21.22,23.86,6.72,Residential,9
Prospect-Lefferts Gardens,Brooklyn,970,4.44,19.29,24.74,6.65,Residential,9
Arden Heights,Staten Island,84,4.45,23.29,23.62,6.19,Residential,9
Jackson Heights,Queens,1078,4.45,20.44,23.78,6.57,Residential,9
Stuyvesant Heights,Brooklyn,1172,4.49,18.79,25.34,7.04,Residential,9
Prospect Park,Brooklyn,161,4.5,19.19,25.43,6.73,Residential,9
Cambria Heights,Queens,110,4.51,20.36,26.06,6.57,Residential,9
Inwood Hill Park,Manhattan,54,4.52,19.95,24.18,6.09,Residential,9
Mott Haven/Port Morris,Bronx,464,4.58,19.43,24.3,16.14,Residential,9
East Williamsburg,Brooklyn,1574,4.6,19.08,26.13,8.27,Residential,9
Spuyten Duyvil/Kingsbridge,Bronx,522,4.63,21.87,23.72,10.6,Residential,9
Forest Hills,Queens,1525,4.75,20.11,25.74,9.16,Residential,9
Westerleigh,Staten Island,140,4.83,21.9,24.14,5.93,Residential,9
Baisley Park,Queens,344,4.86,19.05,27.26,7.69,Residential,9
Central Harlem,Manhattan,1114,5.09,20.51,26.5,6.27,Residential,9
Windsor Terrace,Brooklyn,410,5.2,21.39,26.81,6.12,Residential,9
Breezy Point/Fort Tilden/Riis Beach,Queens,24,5.35,20.27,31.09,7.96,Residential,9
Williamsburg (North Side),Brooklyn,2021,5.43,18.98,30.12,6.63,Residential,9
Boerum Hill,Brooklyn,1385,5.44,19.57,29.77,6.86,Residential,9
New Dorp/Midland Beach,Staten Island,146,5.45,22.44,27.16,5.72,Residential,9
Stuy Town/Peter Cooper Village,Manhattan,446,5.55,19.78,29.65,6.42,Residential,9
Chinatown,Manhattan,534,5.63,19.53,30.37,6.32,Residential,9
Little Italy/NoLiTa,Manhattan,1503,5.97,19.1,32.99,7.97,Residential,9
Gramercy,Manhattan,1740,6.05,20.58,30.84,9.54,Residential,9
Lenox Hill West,Manhattan,1554,6.07,20.63,31.38,6.26,Residential,9
Greenwich Village North,Manhattan,1486,6.23,20.14,33.52,7.71,Residential,9
Upper East Side North,Manhattan,1905,6.35,19.78,33.87,6.31,Residential,9
Highbridge,Bronx,221,6.35,19.85,35.45,7.06,Residential,9
Upper West Side South,Manhattan,1713,6.42,20.63,33.26,6.93,Residential,9
East Elmhurst,Queens,338,6.46,19.81,34.72,10.39,Residential,9
Clinton East,Manhattan,2317,6.64,20.18,34.77,10.36,Residential,9
Union Sq,Manhattan,2495,6.78,19.88,35.85,7.86,Residential,9
Penn Station/Madison Sq West,Manhattan,1711,7.22,19.77,39.2,6.21,Residential,9
Bronx Park,Bronx,72,7.27,20.11,36.76,5.97,Residential,9
East Chelsea,Manhattan,2967,7.48,19.79,39.33,6.17,Residential,9
Financial District North,Manhattan,1487,7.9,19.26,42.71,6.35,Business,9
City Island,Bronx,34,8.6,20.48,45.1,6.55,Residential,9
Saint Michaels Cemetery/Woodside,Queens,6,2.18,15.59,14.9,7.7,Residential,8
Crotona Park East,Bronx,112,3.46,18.59,20.85,7.41,Residential,8
South Jamaica,Queens,190,3.48,19.6,20.22,12.36,Residential,8
South Williamsburg,Brooklyn,113,3.57,17.25,23.64,8.02,Residential,8
Ocean Parkway South,Brooklyn,100,3.72,17.66,23.5,7.86,Residential,8
East Flatbush/Remsen Village,Brooklyn,330,3.72,19.29,21.77,21.47,Residential,8
East New York/Pennsylvania Avenue,Brooklyn,130,3.78,19.68,22.17,7.03,Residential,8
Dyker Heights,Brooklyn,331,3.83,21.45,20.12,6.32,Residential,8
North Corona,Queens,189,3.85,19.86,21.63,6.66,Residential,8
East Tremont,Bronx,264,3.86,20.11,21.31,7.06,Residential,8
Laurelton,Queens,173,3.87,20.53,21.56,14.24,Residential,8
Woodside,Queens,741,3.89,21.17,20.11,6.34,Residential,8
Allerton/Pelham Gardens,Bronx,187,3.92,19.93,21.73,7.09,Residential,8
Bensonhurst West,Brooklyn,518,4.0,20.51,22.34,10.55,Residential,8
Norwood,Bronx,353,4.07,21.49,20.62,6.92,Residential,8
Van Nest/Morris Park,Bronx,368,4.08,21.95,20.46,6.23,Residential,8
Woodlawn/Wakefield,Bronx,286,4.13,19.11,23.36,10.01,Residential,8
Bedford,Brooklyn,1284,4.16,19.46,22.66,7.63,Residential,8
Queensboro Hill,Queens,224,4.16,19.19,22.94,21.66,Residential,8
East Harlem North,Manhattan,951,4.19,21.24,21.46,6.18,Residential,8
Saint Albans,Queens,336,4.19,21.13,23.42,7.09,Residential,8
Ridgewood,Queens,1136,4.25,19.63,23.43,6.85,Residential,8
Sunnyside,Queens,1105,4.25,20.68,22.2,7.96,Residential,8
Crown Heights North,Brooklyn,1915,4.25,19.68,23.68,6.88,Residential,8
Astoria,Queens,1773,4.26,21.63,22.21,6.29,Residential,8
Pelham Bay,Bronx,175,4.29,21.22,22.32,6.54,Residential,8
Bushwick South,Brooklyn,1798,4.33,19.23,23.87,7.37,Residential,8
Ocean Hill,Brooklyn,332,4.39,19.87,23.67,7.0,Residential,8
Kew Gardens Hills,Queens,247,4.43,19.06,24.7,6.65,Residential,8
Manhattan Beach,Brooklyn,197,4.5,20.57,24.48,6.61,Residential,8
