zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Flushing,Queens,959,4.61,20.67,24.57,7.43,Residential,5
Parkchester,Bronx,199,4.62,22.68,23.39,6.0,Residential,5
Jamaica Estates,Queens,200,4.62,20.78,25.63,11.74,Residential,5
Steinway,Queens,1051,4.66,22.55,22.75,12.75,Residential,5
Bay Ridge,Brooklyn,1136,4.68,23.58,22.88,6.04,Residential,5
Central Harlem North,Manhattan,1106,4.8,21.66,24.35,9.3,Residential,5
Greenpoint,Brooklyn,2037,4.84,20.22,25.42,6.94,Residential,5
Bayside,Queens,405,4.91,22.29,24.92,5.81,Residential,5
Heartland Village/Todt Hill,Staten Island,199,4.94,21.27,26.3,12.86,Residential,5
Brooklyn Navy Yard,Brooklyn,218,4.96,20.01,26.69,6.69,Residential,5
South Beach/Dongan Hills,Staten Island,177,4.98,24.46,23.59,5.48,Residential,5
Fort Greene,Brooklyn,1245,4.99,20.71,25.83,6.06,Residential,5
Long Island City/Queens Plaza,Queens,456,4.99,21.34,25.46,16.21,Residential,5
Oakland Gardens,Queens,158,5.07,21.28,25.96,5.96,Residential,5
Cobble Hill,Brooklyn,418,5.15,20.41,26.92,6.24,Residential,5
Douglaston,Queens,165,5.23,21.32,26.46,5.91,Residential,5
East Harlem South,Manhattan,1030,5.31,21.43,26.94,11.74,Residential,5
Inwood,Manhattan,445,5.37,21.41,27.46,6.23,Residential,5
Prospect Heights,Brooklyn,843,5.45,20.5,28.49,6.29,Residential,5
Columbia Street,Brooklyn,178,5.46,20.08,27.69,6.15,Residential,5
Hammels/Arverne,Queens,142,5.47,23.03,29.49,81.94,Residential,5
Downtown Brooklyn/MetroTech,Brooklyn,1122,5.57,20.18,29.97,14.39,Business,5
Carroll Gardens,Brooklyn,654,5.58,22.03,28.49,5.85,Residential,5
Oakwood,Staten Island,88,5.61,23.68,26.76,5.37,Residential,5
Kips Bay,Manhattan,1002,5.63,21.47,27.69,6.26,Residential,5
Glen Oaks,Queens,170,5.65,19.52,31.8,6.41,Residential,5
Whitestone,Queens,211,5.68,22.14,28.9,5.95,Residential,5
DUMBO/Vinegar Hill,Brooklyn,799,5.72,19.31,32.02,6.34,Residential,5
Belmont,Bronx,280,6.15,20.67,31.46,6.27,Residential,5
Forest Park/Highland Park,Queens,22,6.19,20.51,30.68,6.73,Residential,5
Clinton West,Manhattan,1270,6.2,21.46,31.06,5.93,Residential,5
Lenox Hill East,Manhattan,1368,6.47,20.57,33.0,6.03,Residential,5
Hudson Sq,Manhattan,864,7.13,21.81,35.38,5.78,Residential,5
West Chelsea/Hudson Yards,Manhattan,2839,7.39,20.4,38.49,10.54,Residential,5
Randalls Island,Manhattan,43,7.88,24.37,36.79,5.4,Residential,5
Battery Park,Manhattan,45,8.16,20.7,39.1,5.58,Residential,5
Times Sq/Theatre District,Manhattan,4085,8.37,20.95,43.05,7.06,Tourist,5
Borough Park,Brooklyn,536,3.25,17.88,19.71,11.56,Residential,4
Fordham South,Bronx,122,3.26,20.51,17.81,7.29,Residential,4
Starrett City,Brooklyn,91,3.37,18.93,20.21,31.88,Residential,4
East Flatbush/Farragut,Brooklyn,372,3.52,20.44,19.89,9.14,Residential,4
Bedford Park,Bronx,301,3.55,20.96,19.68,12.64,Residential,4
Forest Park/Highland Park,Queens,18,3.61,22.59,16.45,5.97,Residential,4
Sheepshead Bay,Brooklyn,536,3.61,22.81,18.43,6.23,Residential,4
Canarsie,Brooklyn,494,3.62,20.42,21.3,12.41,Residential,4
Cypress Hills,Brooklyn,211,3.69,20.32,19.98,7.0,Residential,4
Brighton Beach,Brooklyn,348,3.7,21.81,19.65,6.46,Residential,4
Mount Hope,Bronx,222,3.71,19.98,20.55,7.05,Residential,4
Gravesend,Brooklyn,218,3.81,22.04,19.49,22.0,Residential,4
Stapleton,Staten Island,193,3.82,23.79,18.69,6.05,Residential,4
Astoria Park,Queens,7,3.85,12.47,30.91,9.91,Residential,4
Woodhaven,Queens,329,3.85,20.76,20.53,25.28,Residential,4
Williamsbridge/Olinville,Bronx,321,3.9,21.32,20.53,6.93,Residential,4
Jamaica,Queens,770,3.9,19.83,21.9,10.3,Residential,4
Co-Op City,Bronx,377,3.94,19.49,22.58,7.22,Residential,4
West Farms/Bronx River,Bronx,152,3.98,21.68,21.26,46.18,Residential,4
Saint George/New Brighton,Staten Island,335,3.99,21.87,20.94,6.56,Residential,4
Kew Gardens,Queens,458,3.99,20.68,21.37,12.54,Residential,4
Rosedale,Queens,126,4.0,21.83,21.64,16.61,Residential,4
Midwood,Brooklyn,484,4.01,18.91,23.44,7.47,Residential,4
Marble Hill,Manhattan,86,4.03,27.91,17.51,5.62,Residential,4
Hillcrest/Pomonok,Queens,364,4.06,19.97,22.86,10.27,Residential,4
Parkchester,Bronx,220,4.07,19.86,23.53,6.77,Residential,4
Jamaica Estates,Queens,212,4.15,20.34,22.9,6.66,Residential,4
Flushing,Queens,861,4.21,20.6,23.51,6.85,Residential,4
East Concourse/Concourse Village,Bronx,313,4.22,20.65,23.3,6.78,Residential,4
Bellerose,Queens,128,4.34,20.23,24.66,7.5,Residential,4
Steinway,Queens,1041,4.4,21.06,22.84,6.31,Residential,4
Greenpoint,Brooklyn,2010,4.51,19.46,24.64,7.3,Residential,4
Central Harlem North,Manhattan,1073,4.51,21.65,23.27,10.44,Residential,4
Inwood,Manhattan,406,4.51,20.63,23.55,9.13,Residential,4
Whitestone,Queens,264,4.57,20.39,24.77,6.54,Residential,4
Oakland Gardens,Queens,158,4.58,19.13,26.45,6.84,Residential,4
Glen Oaks,Queens,164,4.59,18.83,27.01,7.19,Residential,4
Long Island City/Queens Plaza,Queens,525,4.61,20.51,24.95,11.35,Residential,4
Bayside,Queens,424,4.61,23.62,23.02,6.1,Residential,4
South Beach/Dongan Hills,Staten Island,155,4.67,22.23,24.03,5.88,Residential,4
Fort Greene,Brooklyn,1285,4.7,20.13,25.21,6.6,Residential,4
Bay Ridge,Brooklyn,1218,4.73,23.08,23.72,5.98,Residential,4
Prospect Heights,Brooklyn,922,4.75,19.94,25.78,6.47,Residential,4
Great Kills,Staten Island,177,4.85,22.21,25.02,6.17,Residential,4
East Harlem South,Manhattan,1150,4.87,21.35,25.32,11.74,Residential,4
Brooklyn Navy Yard,Brooklyn,173,4.92,18.57,27.91,6.67,Residential,4
Heartland Village/Todt Hill,Staten Island,210,4.97,19.82,27.42,9.74,Residential,4
Downtown Brooklyn/MetroTech,Brooklyn,1041,4.98,19.33,27.88,6.51,Business,4
Hammels/Arverne,Queens,140,5.05,21.72,27.62,6.51,Residential,4
Douglaston,Queens,154,5.05,20.52,27.76,6.35,Residential,4
Belmont,Bronx,293,5.18,20.56,27.87,6.95,Residential,4
Carroll Gardens,Brooklyn,626,5.22,20.87,28.15,6.3,Residential,4
Cobble Hill,Brooklyn,436,5.26,19.46,28.51,6.49,Residential,4
Kips Bay,Manhattan,1060,5.45,21.44,27.64,6.12,Residential,4
Columbia Street,Brooklyn,160,5.57,19.55,29.96,6.27,Residential,4
Clinton West,Manhattan,1369,5.62,21.48,28.71,17.13,Residential,4
DUMBO/Vinegar Hill,Brooklyn,833,5.77,19.17,31.33,6.45,Residential,4
Lenox Hill East,Manhattan,1382,5.8,20.82,30.02,5.92,Residential,4
Oakwood,Staten Island,70,5.84,24.34,27.6,5.92,Residential,4
West Chelsea/Hudson Yards,Manhattan,2682,6.55,20.25,33.8,8.25,Residential,4
Hudson Sq,Manhattan,869,6.71,20.03,35.75,6.15,Residential,4
Battery Park,Manhattan,37,6.77,19.92,37.72,109.36,Residential,4
Times Sq/Theatre District,Manhattan,3996,7.9,21.12,40.53,7.19,Tourist,4
Randalls Island,Manhattan,35,8.21,24.26,35.79,4.6,Residential,4
Great Kills Park,Staten Island,1,1.0,11.01,9.08,9.08,Residential,4
Hollis,Queens,75,3.35,20.8,18.65,7.63,Residential,4
Soundview/Bruckner,Bronx,171,3.52,19.93,18.95,11.25,Residential,4
Elmhurst/Maspeth,Queens,346,3.62,21.58,18.67,6.52,Residential,4
East New York,Brooklyn,586,3.71,21.14,20.1,17.0,Residential,4
Westchester Village/Unionport,Bronx,184,3.72,20.52,20.1,37.18,Residential,4
Richmond Hill,Queens,447,3.73,21.03,19.73,24.84,Residential,4
Bronxdale,Bronx,181,3.76,22.64,20.65,36.66,Residential,4
Middle Village,Queens,409,3.85,21.58,20.32,9.63,Residential,4
Madison,Brooklyn,401,3.86,21.73,20.35,6.5,Residential,4
Glendale,Queens,361,3.88,20.46,20.87,6.58,Residential,4
Van Cortlandt Village,Bronx,356,3.91,21.12,21.3,7.06,Residential,4
Corona,Queens,312,3.99,20.34,21.41,6.62,Residential,4
Fresh Meadows,Queens,147,4.04,18.58,25.43,7.44,Residential,4
Maspeth,Queens,473,4.07,22.04,20.33,6.33,Residential,4
Eastchester,Bronx,184,4.08,20.87,21.79,13.44,Residential,4
Bushwick North,Brooklyn,1427,4.13,20.09,22.32,7.13,Residential,4
Old Astoria,Queens,681,4.17,21.69,21.59,7.32,Residential,4
Schuylerville/Edgewater Park,Bronx,385,4.22,21.93,22.19,8.98,Residential,4
Soundview/Castle Hill,Bronx,306,4.31,21.95,22.04,6.6,Residential,4
Crown Heights South,Brooklyn,522,4.33,19.51,24.08,6.86,Residential,4
Far Rockaway,Queens,167,4.35,19.99,26.74,8.31,Residential,4
Pelham Bay Park,Bronx,34,4.41,16.07,31.9,8.52,Residential,4
Sunset Park East,Brooklyn,348,4.42,19.22,25.25,6.95,Residential,4
Green-Wood Cemetery,Brooklyn,22,4.44,20.58,24.22,6.28,Residential,4
Kensington,Brooklyn,335,4.49,19.91,25.12,6.95,Residential,4
Pelham Parkway,Bronx,368,4.56,20.69,23.96,6.72,Residential,4
Clinton Hill,Brooklyn,1192,4.56,19.68,24.86,6.53,Residential,4
Hamilton Heights,Manhattan,798,4.62,21.12,23.61,6.35,Residential,4
Gowanus,Brooklyn,566,4.66,20.65,24.35,6.25,Residential,4
Grymes Hill/Clifton,Staten Island,101,4.71,19.52,24.59,6.86,Residential,4
Alphabet City,Manhattan,610,4.76,20.92,24.35,6.32,Residential,4
Howard Beach,Queens,224,4.82,21.14,25.14,44.87,Residential,4
Manhattanville,Manhattan,352,4.88,21.39,25.45,25.04,Residential,4
Park Slope,Brooklyn,2638,4.97,21.12,25.96,6.67,Residential,4
Auburndale,Queens,199,4.98,23.5,23.84,5.98,Residential,4
Washington Heights North,Manhattan,826,4.99,20.7,26.47,15.6,Residential,4
Rossville/Woodrow,Staten Island,79,5.08,21.11,26.72,6.62,Residential,4
Two Bridges/Seward Park,Manhattan,834,5.09,20.52,26.76,7.1,Residential,4
Bloomfield/Emerson Hill,Staten Island,280,5.14,21.75,26.4,6.32,Residential,4
Manhattan Valley,Manhattan,742,5.31,21.23,27.39,10.93,Residential,4
Charleston/Tottenville,Staten Island,109,5.36,24.85,27.28,5.65,Residential,4
Sutton Place/Turtle Bay North,Manhattan,1602,5.46,21.18,27.92,5.91,Residential,4
Bay Terrace/Fort Totten,Queens,211,5.62,21.31,29.88,32.87,Residential,4
Rockaway Park,Queens,137,5.68,25.13,28.23,5.73,Residential,4
Yorkville East,Manhattan,961,5.76,21.41,29.4,5.8,Residential,4
Yorkville West,Manhattan,1256,5.8,21.4,29.7,6.33,Residential,4
SoHo,Manhattan,1255,5.83,19.67,31.52,9.1,Residential,4
Brooklyn Heights,Brooklyn,1325,5.84,20.14,31.48,8.38,Residential,4
Greenwich Village South,Manhattan,1434,5.92,20.98,30.9,7.51,Residential,4
West Village,Manhattan,2014,6.05,21.39,31.21,7.25,Residential,4
Central Park,Manhattan,539,6.1,20.37,32.48,6.1,Residential,4
Meatpacking/West Village West,Manhattan,1426,6.18,19.89,33.33,6.96,Residential,4
Lincoln Square East,Manhattan,2109,6.31,21.0,32.77,8.89,Residential,4
Seaport,Manhattan,584,6.4,19.23,35.0,6.49,Residential,4
Eltingville/Annadale/Prince's Bay,Staten Island,104,6.44,25.42,29.61,5.62,Residential,4
Midtown South,Manhattan,2678,6.84,20.72,35.25,7.81,Residential,4
Battery Park City,Manhattan,1232,7.03,19.45,37.96,6.34,Residential,4
Garment District,Manhattan,1627,7.34,20.74,37.54,7.28,Residential,4
Financial District South,Manhattan,681,7.58,19.58,41.38,6.14,Business,4
Midtown North,Manhattan,2494,7.89,20.4,41.31,11.01,Residential,4
Midtown Center,Manhattan,3636,7.93,20.73,41.08,6.27,Residential,4
JFK Airport,Queens,5602,13.43,17.58,77.64,11.27,Airport,4
Pelham Bay Park,Bronx,23,2.83,21.93,15.34,8.76,Residential,12
Soundview/Bruckner,Bronx,186,3.53,20.71,18.82,14.29,Residential,12
Corona,Queens,285,3.53,19.24,19.91,7.18,Residential,12
Madison,Brooklyn,426,3.57,20.88,20.64,6.91,Residential,12
Richmond Hill,Queens,453,3.62,21.79,18.67,6.41,Residential,12
Elmhurst/Maspeth,Queens,316,3.68,22.13,19.33,13.63,Residential,12
East New York,Brooklyn,543,3.73,22.17,20.01,19.39,Residential,12
Soundview/Castle Hill,Bronx,335,3.76,21.88,19.75,6.57,Residential,12
Sunset Park East,Brooklyn,385,3.84,19.73,21.03,6.81,Residential,12
Glendale,Queens,416,3.87,20.42,21.22,6.65,Residential,12
Eastchester,Bronx,175,3.89,21.53,20.14,6.83,Residential,12
Bronxdale,Bronx,194,3.93,23.2,21.29,7.12,Residential,12
Auburndale,Queens,207,3.95,20.62,21.32,8.99,Residential,12
Westchester Village/Unionport,Bronx,217,3.96,22.4,20.18,26.81,Residential,12
Middle Village,Queens,485,4.14,21.25,21.38,6.39,Residential,12
Schuylerville/Edgewater Park,Bronx,392,4.18,22.47,21.93,6.22,Residential,12
Fresh Meadows,Queens,151,4.21,19.45,23.47,6.36,Residential,12
Kensington,Brooklyn,367,4.24,19.48,23.3,7.09,Residential,12
Green-Wood Cemetery,Brooklyn,9,4.28,26.2,21.53,5.53,Residential,12
Hollis,Queens,88,4.29,17.8,25.58,7.64,Residential,12
Old Astoria,Queens,694,4.31,20.9,22.89,11.98,Residential,12
Van Cortlandt Village,Bronx,338,4.34,21.32,23.07,10.33,Residential,12
Crown Heights South,Brooklyn,482,4.39,19.45,25.24,7.13,Residential,12
Maspeth,Queens,600,4.46,21.05,24.17,6.73,Residential,12
Bushwick North,Brooklyn,1436,4.47,20.71,23.75,6.45,Residential,12
Pelham Parkway,Bronx,358,4.58,20.47,24.59,6.7,Residential,12
Howard Beach,Queens,234,4.77,22.08,25.16,6.7,Residential,12
Grymes Hill/Clifton,Staten Island,103,4.78,21.18,24.73,9.16,Residential,12
Clinton Hill,Brooklyn,1225,4.87,19.48,26.99,7.82,Residential,12
Bloomfield/Emerson Hill,Staten Island,286,4.88,21.25,25.1,10.28,Residential,12
Hamilton Heights,Manhattan,757,4.94,21.13,25.7,9.95,Residential,12
Park Slope,Brooklyn,2491,4.95,20.88,26.26,6.44,Residential,12
Manhattanville,Manhattan,331,4.98,20.98,25.47,14.93,Residential,12
Gowanus,Brooklyn,514,5.04,20.87,26.18,6.27,Residential,12
Bay Terrace/Fort Totten,Queens,199,5.13,23.74,24.33,37.79,Residential,12
Alphabet City,Manhattan,566,5.22,19.63,28.12,21.03,Residential,12
Washington Heights North,Manhattan,793,5.24,28.0,26.8,5.95,Residential,12
Two Bridges/Seward Park,Manhattan,819,5.25,20.49,28.4,6.16,Residential,12
Eltingville/Annadale/Prince's Bay,Staten Island,136,5.38,24.45,26.13,5.73,Residential,12
Far Rockaway,Queens,180,5.41,21.28,30.68,6.59,Residential,12
Charleston/Tottenville,Staten Island,123,5.46,24.72,27.19,5.57,Residential,12
Manhattan Valley,Manhattan,691,5.48,19.68,30.21,12.23,Residential,12
Brooklyn Heights,Brooklyn,1217,5.83,19.18,33.29,8.97,Residential,12
Yorkville West,Manhattan,1208,6.06,20.47,32.02,6.16,Residential,12
Yorkville East,Manhattan,959,6.17,20.25,32.42,6.15,Residential,12
Rossville/Woodrow,Staten Island,81,6.6,24.17,32.07,5.58,Residential,12
Rockaway Park,Queens,155,6.64,24.63,32.4,5.79,Residential,12
Sutton Place/Turtle Bay North,Manhattan,1449,6.81,20.06,36.18,6.3,Residential,12
West Village,Manhattan,2011,7.09,19.39,38.61,6.32,Residential,12
Greenwich Village South,Manhattan,1376,7.09,19.11,39.62,6.5,Residential,12
Meatpacking/West Village West,Manhattan,1349,7.26,19.29,40.36,6.46,Residential,12
SoHo,Manhattan,1236,7.57,19.04,42.22,6.37,Residential,12
Lincoln Square East,Manhattan,2008,7.6,20.16,40.32,7.07,Residential,12
Central Park,Manhattan,500,7.78,21.57,39.03,22.31,Residential,12
Battery Park City,Manhattan,1035,8.32,19.61,45.34,14.59,Residential,12
Financial District South,Manhattan,690,8.59,19.41,47.7,19.13,Business,12
Seaport,Manhattan,532,8.63,19.77,46.09,6.1,Residential,12
Midtown South,Manhattan,2815,8.73,20.46,45.83,6.03,Residential,12
Garment District,Manhattan,1643,9.4,20.11,49.28,8.22,Residential,12
Midtown North,Manhattan,2685,9.56,19.82,51.46,9.39,Residential,12
Midtown Center,Manhattan,3446,9.63,19.63,52.08,6.21,Residential,12
JFK Airport,Queens,4590,13.81,17.74,79.74,10.42,Airport,12
Mount Hope,Bronx,231,3.4,20.72,19.14,7.02,Residential,7
Fordham South,Bronx,124,3.42,20.01,18.58,7.21,Residential,7
Brighton Beach,Brooklyn,350,3.43,20.92,19.13,7.05,Residential,7
Borough Park,Brooklyn,468,3.5,18.19,20.23,7.71,Residential,7
Sheepshead Bay,Brooklyn,490,3.56,22.56,18.5,8.26,Residential,7
Gravesend,Brooklyn,217,3.56,20.61,19.07,10.81,Residential,7
Cypress Hills,Brooklyn,247,3.62,20.53,19.61,6.78,Residential,7
Saint George/New Brighton,Staten Island,328,3.69,21.95,19.15,6.55,Residential,7
Williamsbridge/Olinville,Bronx,281,3.73,20.18,20.35,7.18,Residential,7
Canarsie,Brooklyn,507,3.76,21.3,20.49,9.45,Residential,7
Parkchester,Bronx,238,3.77,21.22,20.6,6.75,Residential,7
West Farms/Bronx River,Bronx,128,3.77,21.21,21.08,7.51,Residential,7
Starrett City,Brooklyn,82,3.8,18.22,23.54,7.45,Residential,7
Astoria Park,Queens,4,3.87,35.06,13.83,4.37,Residential,7
Jamaica Estates,Queens,193,3.89,20.93,21.97,22.66,Residential,7
Stapleton,Staten Island,181,3.89,23.95,18.44,5.97,Residential,7
East Flatbush/Farragut,Brooklyn,329,3.89,21.24,21.43,10.46,Residential,7
Kew Gardens,Queens,465,3.89,19.8,21.23,6.58,Residential,7
Co-Op City,Bronx,372,3.92,19.47,23.05,7.39,Residential,7
Hillcrest/Pomonok,Queens,232,3.96,19.82,21.88,6.86,Residential,7
Bedford Park,Bronx,284,4.01,23.89,19.78,11.22,Residential,7
Marble Hill,Manhattan,84,4.06,22.79,19.36,5.95,Residential,7
East Concourse/Concourse Village,Bronx,322,4.07,19.58,22.96,11.56,Residential,7
Rosedale,Queens,137,4.1,20.9,22.64,6.46,Residential,7
Midwood,Brooklyn,392,4.15,18.82,23.44,9.0,Residential,7
Woodhaven,Queens,331,4.24,20.19,22.61,17.98,Residential,7
Central Harlem North,Manhattan,1058,4.29,20.09,23.36,6.75,Residential,7
Flushing,Queens,963,4.3,20.31,23.13,8.22,Residential,7
South Beach/Dongan Hills,Staten Island,174,4.32,21.61,22.53,6.03,Residential,7
Jamaica,Queens,802,4.33,19.66,23.8,10.43,Residential,7
Greenpoint,Brooklyn,2161,4.37,19.24,24.14,7.82,Residential,7
Steinway,Queens,1068,4.41,21.72,22.21,8.1,Residential,7
Glen Oaks,Queens,175,4.42,19.03,24.86,15.8,Residential,7
Fort Greene,Brooklyn,1175,4.45,19.9,23.97,6.6,Residential,7
Inwood,Manhattan,435,4.51,19.76,25.0,6.7,Residential,7
Bayside,Queens,431,4.56,22.63,23.66,6.15,Residential,7
Oakland Gardens,Queens,151,4.58,19.59,26.56,6.75,Residential,7
Forest Park/Highland Park,Queens,26,4.61,18.46,26.46,7.13,Residential,7
Bay Ridge,Brooklyn,1240,4.65,23.08,23.33,5.91,Residential,7
Belmont,Bronx,251,4.68,21.54,24.14,6.57,Residential,7
Prospect Heights,Brooklyn,829,4.68,20.09,25.1,6.39,Residential,7
Oakwood,Staten Island,100,4.71,20.78,25.69,6.34,Residential,7
Bellerose,Queens,138,4.78,20.69,25.55,6.54,Residential,7
Heartland Village/Todt Hill,Staten Island,221,4.84,20.8,24.99,6.22,Residential,7
East Harlem South,Manhattan,1137,4.85,21.29,25.1,12.2,Residential,7
Hammels/Arverne,Queens,203,4.88,24.16,26.97,6.56,Residential,7
Long Island City/Queens Plaza,Queens,472,4.92,20.78,24.98,6.21,Residential,7
Carroll Gardens,Brooklyn,536,4.96,21.25,25.87,7.42,Residential,7
Kips Bay,Manhattan,1027,5.01,21.23,25.75,8.5,Residential,7
Columbia Street,Brooklyn,133,5.06,19.62,27.3,6.33,Residential,7
Whitestone,Queens,244,5.11,23.87,26.11,5.78,Residential,7
Great Kills,Staten Island,166,5.11,24.93,25.49,5.5,Residential,7
Cobble Hill,Brooklyn,363,5.15,20.13,28.58,6.28,Residential,7
Downtown Brooklyn/MetroTech,Brooklyn,1059,5.21,19.87,28.05,10.06,Business,7
Douglaston,Queens,146,5.41,20.75,30.14,6.49,Residential,7
DUMBO/Vinegar Hill,Brooklyn,790,5.44,18.28,31.03,6.79,Residential,7
Lenox Hill East,Manhattan,1303,5.72,21.18,29.21,5.96,Residential,7
Clinton West,Manhattan,1265,5.85,21.42,30.04,6.09,Residential,7
Brooklyn Navy Yard,Brooklyn,176,5.88,20.63,31.4,6.65,Residential,7
West Chelsea/Hudson Yards,Manhattan,2578,6.31,20.14,33.37,6.98,Residential,7
Hudson Sq,Manhattan,835,6.34,20.74,33.48,6.06,Residential,7
Battery Park,Manhattan,46,7.27,19.27,39.77,6.71,Residential,7
Times Sq/Theatre District,Manhattan,4060,7.33,20.87,38.15,10.3,Tourist,7
Randalls Island,Manhattan,23,9.98,29.75,36.4,4.05,Residential,7
Soundview/Bruckner,Bronx,172,3.24,19.89,18.0,7.31,Residential,10
Westchester Village/Unionport,Bronx,177,3.48,20.73,19.17,6.73,Residential,10
Bronxdale,Bronx,163,3.63,20.15,19.53,7.5,Residential,10
Elmhurst/Maspeth,Queens,322,3.66,21.3,19.08,7.02,Residential,10
Glendale,Queens,359,3.77,20.16,20.17,6.51,Residential,10
Madison,Brooklyn,392,3.79,20.85,20.64,6.91,Residential,10
East New York,Brooklyn,526,3.82,21.76,20.16,9.88,Residential,10
Richmond Hill,Queens,422,3.85,21.73,20.35,6.54,Residential,10
Eastchester,Bronx,163,3.88,21.21,21.72,6.95,Residential,10
Corona,Queens,300,3.94,19.94,21.59,16.44,Residential,10
Pelham Bay Park,Bronx,22,3.95,21.16,23.1,7.83,Residential,10
Hollis,Queens,101,3.95,18.65,25.18,8.41,Residential,10
Grymes Hill/Clifton,Staten Island,92,3.95,20.24,20.45,6.89,Residential,10
Pelham Parkway,Bronx,350,3.96,20.18,22.08,7.11,Residential,10
Middle Village,Queens,419,3.97,19.84,22.06,6.9,Residential,10
Crown Heights South,Brooklyn,495,4.0,19.7,22.81,8.41,Residential,10
Soundview/Castle Hill,Bronx,330,4.05,21.61,21.08,14.99,Residential,10
Fresh Meadows,Queens,140,4.14,19.0,23.72,9.65,Residential,10
Van Cortlandt Village,Bronx,373,4.17,21.75,21.75,6.36,Residential,10
Maspeth,Queens,482,4.22,19.81,22.96,6.69,Residential,10
Old Astoria,Queens,678,4.22,21.05,21.97,12.89,Residential,10
Bushwick North,Brooklyn,1506,4.33,19.52,23.44,6.94,Residential,10
Auburndale,Queens,195,4.36,22.45,22.42,6.43,Residential,10
Sunset Park East,Brooklyn,380,4.38,19.77,24.05,6.59,Residential,10
Gowanus,Brooklyn,545,4.49,20.2,23.79,6.54,Residential,10
Manhattanville,Manhattan,368,4.5,20.02,23.77,6.53,Residential,10
Clinton Hill,Brooklyn,1235,4.6,19.39,25.84,6.85,Residential,10
Kensington,Brooklyn,304,4.61,19.22,24.69,7.23,Residential,10
Hamilton Heights,Manhattan,747,4.61,20.59,24.57,9.84,Residential,10
Howard Beach,Queens,236,4.72,20.44,25.8,6.45,Residential,10
Bloomfield/Emerson Hill,Staten Island,264,4.84,20.7,24.77,9.32,Residential,10
Park Slope,Brooklyn,2545,4.85,20.21,26.01,6.49,Residential,10
Schuylerville/Edgewater Park,Bronx,397,4.86,23.07,24.14,6.07,Residential,10
Green-Wood Cemetery,Brooklyn,14,4.9,21.51,29.45,6.25,Residential,10
Alphabet City,Manhattan,544,5.01,19.15,26.99,6.77,Residential,10
Bay Terrace/Fort Totten,Queens,199,5.01,21.4,25.29,25.2,Residential,10
Rossville/Woodrow,Staten Island,76,5.11,20.99,25.76,6.27,Residential,10
Rockaway Park,Queens,127,5.12,21.7,28.54,6.45,Residential,10
Charleston/Tottenville,Staten Island,115,5.23,25.21,25.79,5.4,Residential,10
Two Bridges/Seward Park,Manhattan,792,5.28,19.81,28.41,9.1,Residential,10
Manhattan Valley,Manhattan,705,5.31,20.62,28.25,14.05,Residential,10
Washington Heights North,Manhattan,809,5.34,20.62,28.07,6.18,Residential,10
Far Rockaway,Queens,182,5.36,22.64,29.58,17.26,Residential,10
Yorkville East,Manhattan,886,5.69,20.1,29.43,6.15,Residential,10
Brooklyn Heights,Brooklyn,1307,5.74,19.69,31.23,7.97,Residential,10
Yorkville West,Manhattan,1286,5.91,20.68,30.38,6.8,Residential,10
Greenwich Village South,Manhattan,1404,6.18,19.52,33.9,6.37,Residential,10
West Village,Manhattan,1961,6.26,19.58,33.41,6.26,Residential,10
Sutton Place/Turtle Bay North,Manhattan,1652,6.28,20.58,32.71,6.19,Residential,10
Eltingville/Annadale/Prince's Bay,Staten Island,106,6.47,22.23,34.3,6.65,Residential,10
SoHo,Manhattan,1209,6.6,19.27,35.96,6.3,Residential,10
Meatpacking/West Village West,Manhattan,1424,6.73,19.74,36.07,7.63,Residential,10
Lincoln Square East,Manhattan,1968,6.74,20.7,35.29,7.09,Residential,10
Central Park,Manhattan,497,6.81,19.73,36.71,6.33,Residential,10
Midtown South,Manhattan,2713,7.48,20.29,38.7,6.69,Residential,10
Seaport,Manhattan,560,7.57,19.44,40.15,6.06,Residential,10
Battery Park City,Manhattan,1253,7.68,19.93,41.24,6.22,Residential,10
Financial District South,Manhattan,726,7.83,19.01,42.74,6.34,Business,10
Garment District,Manhattan,1593,8.05,20.41,41.66,7.62,Residential,10
Midtown Center,Manhattan,3836,8.19,19.86,43.7,6.24,Residential,10
Midtown North,Manhattan,2578,8.51,20.04,45.08,5.99,Residential,10
Jamaica Bay,Queens,3,9.72,24.8,42.62,4.43,Residential,10
JFK Airport,Queens,5205,13.62,17.74,78.07,17.27,Airport,10
Borough Park,Brooklyn,636,3.03,17.87,18.16,12.69,Residential,1
Brighton Beach,Brooklyn,315,3.49,22.0,17.86,6.6,Residential,1
West Farms/Bronx River,Bronx,122,3.56,19.7,19.39,7.73,Residential,1
Mount Hope,Bronx,263,3.56,21.14,18.38,6.74,Residential,1
Canarsie,Brooklyn,467,3.61,19.89,20.72,6.75,Residential,1
Fordham South,Bronx,112,3.63,21.23,19.85,6.9,Residential,1
Cypress Hills,Brooklyn,228,3.67,20.64,19.98,19.76,Residential,1
Sheepshead Bay,Brooklyn,516,3.68,20.83,19.3,8.41,Residential,1
Parkchester,Bronx,230,3.69,22.01,20.02,6.61,Residential,1
Bellerose,Queens,122,3.7,20.62,20.76,6.66,Residential,1
Gravesend,Brooklyn,221,3.72,23.45,17.81,6.03,Residential,1
Bedford Park,Bronx,304,3.73,20.8,20.7,35.42,Residential,1
