zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Cypress Hills,97,233.75,8.35,25.12,12
Kew Gardens,218,527.5,8.48,22.09,12
Hillcrest/Pomonok,93,225.0,8.67,26.45,12
Jamaica,269,646.0,9.3,23.14,12
Woodhaven,120,293.75,9.69,25.08,12
Steinway,276,672.5,10.38,26.78,12
Canarsie,181,418.75,10.82,30.78,12
Starrett City,29,68.75,11.05,24.81,12
Oakland Gardens,47,116.25,11.85,36.89,12
Bellerose,46,108.75,11.99,34.52,12
Glen Oaks,45,106.25,12.1,38.06,12
Hammels/Arverne,48,115.0,12.35,39.7,12
Jamaica Estates,55,136.25,12.47,31.65,12
Flushing,318,782.5,13.07,28.41,12
Whitestone,62,152.5,13.84,31.65,12
Forest Park/Highland Park,1,2.5,13.88,26.36,12
East Flatbush/Farragut,98,232.5,13.95,45.5,12
Douglaston,49,121.25,14.93,36.25,12
Bayside,75,187.5,14.94,37.33,12
Long Island City/Queens Plaza,237,583.75,15.23,39.77,12
Parkchester,39,95.0,15.61,45.13,12
Mount Hope,52,123.75,16.07,48.36,12
Bedford Park,48,116.25,16.09,54.69,12
Fordham South,19,46.25,16.39,57.4,12
Sheepshead Bay,57,140.0,16.69,48.19,12
West Farms/Bronx River,26,63.75,16.72,39.98,12
Marble Hill,13,31.25,17.37,61.37,12
Williamsbridge/Olinville,52,123.75,17.87,52.51,12
Brighton Beach,46,113.75,18.15,47.19,12
Co-Op City,57,137.5,18.2,45.22,12
Gravesend,26,63.75,19.05,47.6,12
Midwood,82,203.75,19.2,52.55,12
East Concourse/Concourse Village,59,138.75,20.28,46.97,12
Greenpoint,512,1265.0,21.04,43.76,12
Bay Ridge,148,366.25,22.3,58.34,12
Belmont,72,176.25,22.49,52.65,12
Central Harlem North,273,666.25,22.54,42.51,12
Borough Park,50,122.5,22.95,60.13,12
Inwood,57,141.25,24.55,52.54,12
Battery Park,1,2.5,25.13,46.78,12
Fort Greene,277,683.75,25.54,50.4,12
East Harlem South,247,602.5,25.99,45.31,12
Prospect Heights,226,556.25,26.39,52.76,12
Brooklyn Navy Yard,11,25.0,26.59,56.84,12
Kips Bay,338,835.0,26.77,46.87,12
Saint George/New Brighton,28,68.75,27.87,60.03,12
Columbia Street,28,68.75,28.39,60.12,12
Carroll Gardens,122,303.75,29.19,57.61,12
Downtown Brooklyn/MetroTech,362,901.25,29.56,52.13,12
Lenox Hill East,328,811.25,30.01,51.17,12
Cobble Hill,82,203.75,30.42,60.82,12
Stapleton,28,67.5,31.49,54.61,12
Great Kills,14,35.0,32.1,71.56,12
South Beach/Dongan Hills,18,45.0,32.45,56.97,12
DUMBO/Vinegar Hill,177,440.0,32.55,57.05,12
Clinton West,343,848.75,35.65,61.43,12
Heartland Village/Todt Hill,29,72.5,37.44,54.56,12
Oakwood,3,7.5,38.02,58.91,12
Hudson Sq,308,768.75,43.09,60.52,12
Times Sq/Theatre District,1727,4303.75,43.57,62.34,12
West Chelsea/Hudson Yards,543,1348.75,47.47,64.65,12
Flushing Meadows-Corona Park,9,22.5,5.93,11.89,2
North Corona,73,177.5,6.09,17.59,2
South Jamaica,122,275.0,7.41,18.19,2
Woodside,133,323.75,7.51,23.93,2
Saint Albans,194,442.5,7.79,20.08,2
Laurelton,116,263.75,8.17,16.81,2
Ocean Hill,119,281.25,8.82,31.57,2
Queensboro Hill,43,102.5,8.95,23.74,2
Astoria,389,960.0,8.98,27.77,2
Outside of NYC,3,7.5,9.33,51.12,2
College Point,42,102.5,9.34,26.99,2
East Flatbush/Remsen Village,108,252.5,9.38,33.7,2
East New York/Pennsylvania Avenue,78,181.25,9.66,25.41,2
South Williamsburg,35,85.0,10.59,38.85,2
Saint Michaels Cemetery/Woodside,1,2.5,10.96,9.66,2
Sunnyside,174,426.25,10.96,30.47,2
Marine Park/Mill Basin,88,216.25,11.0,42.91,2
Coney Island,40,98.75,11.7,46.87,2
Manhattan Beach,19,47.5,11.81,47.46,2
Crown Heights North,479,1152.5,12.44,39.93,2
Ridgewood,181,433.75,12.5,35.0,2
Flatbush/Ditmas Park,177,427.5,13.03,49.09,2
Kew Gardens Hills,72,177.5,13.08,20.93,2
Bensonhurst West,48,118.75,13.88,52.48,2
Bushwick South,368,896.25,13.89,38.05,2
Roosevelt Island,70,170.0,14.04,40.88,2
Bedford,271,662.5,14.13,40.24,2
Long Island City/Hunters Point,589,1455.0,14.37,38.25,2
Crotona Park East,15,36.25,14.67,41.14,2
East Tremont,37,87.5,15.57,37.65,2
Allerton/Pelham Gardens,42,103.75,15.9,39.45,2
West Concourse,56,137.5,17.15,37.89,2
Williamsburg (South Side),388,963.75,17.53,41.82,2
Dyker Heights,38,92.5,17.56,58.64,2
Sunset Park West,72,178.75,17.88,56.94,2
Norwood,34,85.0,17.98,48.55,2
Pelham Bay,22,53.75,18.32,38.57,2
East Harlem North,183,436.25,18.81,33.38,2
Woodlawn/Wakefield,45,110.0,19.4,46.83,2
Ocean Parkway South,34,83.75,19.98,52.26,2
Washington Heights South,195,471.25,20.57,43.36,2
Country Club,12,30.0,20.76,43.82,2
Van Nest/Morris Park,41,98.75,20.78,45.32,2
LaGuardia Airport,16993,41562.5,23.32,41.29,2
Port Richmond,4,10.0,24.94,57.29,2
Morningside Heights,227,561.25,25.28,51.4,2
East Village,619,1528.75,25.64,48.47,2
Bloomingdale,70,171.25,26.16,53.48,2
Lower East Side,481,1190.0,26.36,47.68,2
Riverdale/North Riverdale/Fieldston,77,186.25,27.63,61.63,2
UN/Turtle Bay South,463,1151.25,31.3,45.33,2
Upper West Side North,396,978.75,31.64,51.98,2
Murray Hill,693,1720.0,31.75,46.16,2
Red Hook,37,90.0,32.1,69.13,2
West Brighton,14,35.0,33.78,53.76,2
Midtown East,754,1880.0,36.89,50.8,2
Flatiron,562,1402.5,37.08,51.49,2
World Trade Center,392,976.25,37.16,58.55,2
Lincoln Square West,333,828.75,37.26,59.66,2
Upper East Side South,390,971.25,37.53,54.69,2
TriBeCa/Civic Center,711,1776.25,39.15,55.87,2
Elmhurst/Maspeth,128,312.5,9.64,22.83,8
Howard Beach,136,322.5,10.45,19.88,8
Richmond Hill,213,508.75,10.54,21.46,8
East New York,316,752.5,10.72,24.38,8
Pelham Bay Park,1,2.5,11.03,25.72,8
Corona,115,277.5,11.16,22.9,8
Old Astoria,226,550.0,12.0,28.26,8
Hollis,62,148.75,12.71,29.43,8
Middle Village,110,273.75,14.05,30.51,8
Maspeth,96,235.0,14.26,31.94,8
Fresh Meadows,47,117.5,14.28,31.09,8
Far Rockaway,129,311.25,14.36,33.39,8
Glendale,75,181.25,15.06,31.23,8
Auburndale,68,168.75,15.07,32.32,8
Bushwick North,340,825.0,15.44,35.85,8
Bay Terrace/Fort Totten,69,172.5,16.34,38.62,8
Crown Heights South,212,513.75,17.68,42.49,8
Soundview/Bruckner,47,111.25,18.37,41.07,8
Rockaway Park,41,101.25,18.45,49.36,8
Madison,47,111.25,18.71,52.45,8
Bronxdale,34,85.0,19.44,47.09,8
Kensington,48,116.25,19.78,57.52,8
Soundview/Castle Hill,82,201.25,20.51,38.05,8
Westchester Village/Unionport,43,107.5,21.35,37.76,8
Clinton Hill,410,1002.5,21.7,43.63,8
Alphabet City,160,388.75,22.26,49.67,8
Pelham Parkway,78,193.75,22.62,48.21,8
Eastchester,47,116.25,22.87,47.7,8
JFK Airport,20223,49086.25,23.6,57.42,8
Van Cortlandt Village,50,123.75,23.77,53.5,8
Schuylerville/Edgewater Park,84,210.0,23.91,42.68,8
Sunset Park East,43,105.0,24.15,59.01,8
Washington Heights North,177,435.0,24.42,49.24,8
Manhattanville,79,192.5,25.53,46.01,8
Gowanus,68,167.5,25.91,58.53,8
Two Bridges/Seward Park,193,472.5,26.1,48.92,8
Park Slope,444,1103.75,26.33,53.11,8
Hamilton Heights,187,463.75,27.04,43.15,8
Grymes Hill/Clifton,18,43.75,28.52,56.71,8
Yorkville West,470,1151.25,28.95,44.16,8
Yorkville East,329,811.25,29.26,42.33,8
Manhattan Valley,259,635.0,29.41,52.54,8
Brooklyn Heights,297,735.0,30.24,53.78,8
Sutton Place/Turtle Bay North,437,1087.5,32.25,48.68,8
Greenwich Village South,211,526.25,34.11,52.26,8
Bloomfield/Emerson Hill,62,155.0,35.94,51.68,8
Seaport,168,418.75,36.87,55.86,8
West Village,399,995.0,37.72,52.22,8
Central Park,83,207.5,37.89,60.0,8
Midtown South,1073,2670.0,38.28,51.34,8
Lincoln Square East,488,1212.5,38.81,59.19,8
SoHo,262,652.5,38.87,56.91,8
Garment District,542,1351.25,40.02,54.85,8
Financial District South,143,353.75,40.43,58.08,8
Midtown Center,938,2336.25,41.79,55.38,8
Midtown North,787,1958.75,42.0,58.69,8
Battery Park City,317,792.5,42.32,59.79,8
Meatpacking/West Village West,292,725.0,42.63,56.96,8
Eltingville/Annadale/Prince's Bay,19,47.5,43.36,52.3,8
Charleston/Tottenville,15,37.5,44.55,70.79,8
Great Kills Park,1,2.5,44.99,43.0,8
Rossville/Woodrow,10,23.75,45.25,60.99,8
Randalls Island,3,7.5,6.76,51.4,10
Rosedale,114,256.25,8.31,21.4,10
Starrett City,26,56.25,8.7,24.38,10
Jamaica,258,621.25,9.81,22.2,10
Kew Gardens,234,567.5,9.99,23.28,10
Cypress Hills,91,213.75,10.25,23.04,10
Woodhaven,112,271.25,10.73,25.58,10
Steinway,273,667.5,10.8,24.83,10
Flushing,368,903.75,12.38,24.99,10
Canarsie,176,420.0,12.63,31.69,10
Hillcrest/Pomonok,68,163.75,12.72,25.88,10
Glen Oaks,42,103.75,13.02,37.28,10
Jamaica Estates,61,148.75,13.43,29.28,10
Hammels/Arverne,52,117.5,14.01,37.92,10
East Flatbush/Farragut,96,233.75,14.35,43.22,10
Bellerose,49,120.0,14.63,36.0,10
Gravesend,17,42.5,14.72,51.54,10
Bayside,71,173.75,14.86,34.97,10
Oakland Gardens,55,135.0,15.04,34.27,10
Long Island City/Queens Plaza,199,487.5,15.14,35.5,10
Forest Park/Highland Park,5,12.5,15.59,26.72,10
Bedford Park,54,127.5,16.55,46.12,10
Whitestone,61,150.0,17.12,32.55,10
Mount Hope,48,113.75,17.62,44.47,10
Fordham South,18,45.0,17.87,53.0,10
Williamsbridge/Olinville,49,118.75,17.89,49.41,10
Marble Hill,6,13.75,17.97,41.1,10
Sheepshead Bay,60,148.75,18.16,49.45,10
Douglaston,45,112.5,18.17,37.85,10
Brighton Beach,31,77.5,18.54,45.43,10
Greenpoint,494,1222.5,19.36,42.43,10
East Concourse/Concourse Village,56,138.75,19.82,37.83,10
Parkchester,33,82.5,20.45,43.23,10
Co-Op City,61,146.25,21.25,47.99,10
Inwood,61,150.0,22.11,47.62,10
West Farms/Bronx River,25,62.5,22.19,48.55,10
Midwood,74,181.25,22.65,55.08,10
Central Harlem North,264,650.0,22.69,40.43,10
Prospect Heights,260,645.0,22.72,48.05,10
Belmont,51,125.0,22.91,42.36,10
Oakwood,9,22.5,23.52,64.97,10
Borough Park,47,115.0,23.64,58.5,10
Bay Ridge,144,352.5,23.84,58.36,10
Fort Greene,246,610.0,23.97,47.31,10
Brooklyn Navy Yard,17,42.5,24.2,50.05,10
South Beach/Dongan Hills,20,50.0,24.86,57.48,10
Columbia Street,28,70.0,25.24,55.19,10
East Harlem South,219,535.0,26.04,42.48,10
Downtown Brooklyn/MetroTech,375,925.0,26.2,48.05,10
Kips Bay,306,757.5,27.09,43.85,10
Lenox Hill East,297,731.25,27.46,47.11,10
Carroll Gardens,138,343.75,27.89,55.77,10
Cobble Hill,93,231.25,29.07,56.53,10
Saint George/New Brighton,26,65.0,29.93,55.79,10
DUMBO/Vinegar Hill,188,470.0,31.4,52.15,10
Stapleton,23,57.5,34.52,50.81,10
Heartland Village/Todt Hill,31,77.5,36.35,53.18,10
Great Kills,27,67.5,38.66,66.71,10
Clinton West,324,807.5,38.77,56.82,10
Astoria Park,1,2.5,39.59,64.07,10
Times Sq/Theatre District,1904,4750.0,42.93,59.6,10
Hudson Sq,381,951.25,43.13,59.14,10
Battery Park,8,20.0,47.06,70.57,10
West Chelsea/Hudson Yards,567,1415.0,48.01,63.85,10
Jamaica Bay,1,2.5,6.9,31.74,6
Elmhurst/Maspeth,80,188.75,8.88,25.85,6
East New York,275,658.75,9.56,23.22,6
Corona,94,226.25,9.7,23.47,6
Richmond Hill,192,466.25,9.85,21.05,6
Howard Beach,109,263.75,9.86,21.49,6
Old Astoria,222,536.25,9.95,27.86,6
Hollis,50,118.75,10.68,27.03,6
Auburndale,62,153.75,11.55,30.95,6
Far Rockaway,108,261.25,11.97,36.85,6
Middle Village,80,196.25,12.53,33.67,6
Madison,42,98.75,12.96,50.05,6
Glendale,63,148.75,13.05,30.92,6
Maspeth,66,161.25,13.52,32.9,6
Bushwick North,266,647.5,13.91,37.35,6
Crown Heights South,195,466.25,14.08,43.99,6
Fresh Meadows,48,118.75,14.29,33.89,6
Bay Terrace/Fort Totten,40,100.0,14.71,35.64,6
Bronxdale,19,43.75,15.58,46.15,6
Soundview/Castle Hill,66,155.0,17.54,37.96,6
Westchester Village/Unionport,25,62.5,18.45,35.89,6
Rockaway Park,45,112.5,18.48,48.39,6
Pelham Parkway,70,172.5,18.65,44.91,6
Kensington,44,110.0,18.86,59.04,6
Soundview/Bruckner,33,80.0,18.97,34.28,6
Eastchester,41,97.5,19.18,43.2,6
Sunset Park East,39,96.25,19.48,62.03,6
Van Cortlandt Village,45,112.5,19.94,55.88,6
Clinton Hill,330,818.75,20.09,45.41,6
Alphabet City,152,371.25,21.46,49.73,6
Pelham Bay Park,2,5.0,21.71,32.6,6
Manhattanville,67,163.75,21.87,47.22,6
Schuylerville/Edgewater Park,77,186.25,22.46,42.24,6
JFK Airport,19193,47021.25,22.48,59.96,6
Hamilton Heights,169,408.75,22.6,42.29,6
Washington Heights North,185,460.0,23.42,48.42,6
Two Bridges/Seward Park,198,488.75,23.42,50.77,6
Green-Wood Cemetery,1,2.5,23.68,63.09,6
Gowanus,77,192.5,24.27,60.52,6
Park Slope,499,1240.0,24.68,55.11,6
Brooklyn Heights,299,741.25,26.06,52.47,6
Yorkville West,436,1072.5,28.2,46.85,6
Manhattan Valley,228,561.25,28.99,54.93,6
Sutton Place/Turtle Bay North,399,993.75,30.13,47.26,6
Yorkville East,300,740.0,30.23,46.72,6
Grymes Hill/Clifton,15,37.5,31.05,56.94,6
Bloomfield/Emerson Hill,39,97.5,32.26,46.1,6
Financial District South,154,383.75,32.66,58.9,6
Greenwich Village South,230,573.75,32.67,53.69,6
West Village,398,991.25,35.26,54.61,6
Seaport,188,466.25,35.28,53.5,6
Eltingville/Annadale/Prince's Bay,15,37.5,35.52,67.71,6
Rossville/Woodrow,10,25.0,36.29,55.99,6
Central Park,81,201.25,36.61,57.74,6
SoHo,291,726.25,37.09,56.67,6
Midtown South,1176,2930.0,37.66,53.64,6
Lincoln Square East,498,1238.75,39.16,58.86,6
Garment District,599,1491.25,39.8,53.96,6
Charleston/Tottenville,12,28.75,40.95,64.17,6
Battery Park City,324,810.0,41.08,60.55,6
Meatpacking/West Village West,288,718.75,41.58,60.61,6
Midtown North,843,2100.0,42.32,62.11,6
Midtown Center,1018,2538.75,43.02,59.2,6
Randalls Island,6,15.0,3.54,56.26,9
Rosedale,122,276.25,9.25,20.45,9
Woodhaven,109,266.25,9.76,23.68,9
Kew Gardens,235,567.5,10.02,22.39,9
Jamaica,281,676.25,10.31,21.5,9
Forest Park/Highland Park,8,17.5,10.47,35.16,9
Cypress Hills,100,243.75,10.86,23.36,9
Astoria Park,2,5.0,10.96,11.36,9
Steinway,278,683.75,11.06,23.12,9
Starrett City,30,68.75,11.67,26.82,9
Flushing,417,1025.0,11.88,21.94,9
Hillcrest/Pomonok,55,128.75,12.21,25.83,9
Bellerose,45,112.5,13.26,30.56,9
Oakland Gardens,45,107.5,14.39,32.3,9
Canarsie,167,407.5,14.51,33.07,9
East Flatbush/Farragut,96,232.5,14.52,42.57,9
Bayside,70,171.25,15.72,33.06,9
Hammels/Arverne,54,133.75,15.75,37.25,9
Jamaica Estates,52,127.5,15.87,30.12,9
Whitestone,45,112.5,16.87,33.21,9
Midwood,86,206.25,16.9,51.73,9
Sheepshead Bay,49,121.25,16.99,47.48,9
Long Island City/Queens Plaza,243,600.0,17.27,37.28,9
Glen Oaks,52,125.0,17.32,36.09,9
Fordham South,12,28.75,17.69,49.36,9
Gravesend,33,81.25,17.84,47.29,9
Greenpoint,542,1343.75,18.37,43.32,9
Co-Op City,50,117.5,18.6,46.59,9
Douglaston,35,87.5,18.85,38.22,9
Williamsbridge/Olinville,59,143.75,19.35,47.42,9
Bedford Park,45,111.25,19.39,50.14,9
West Farms/Bronx River,23,56.25,20.05,36.78,9
Mount Hope,55,135.0,20.32,45.22,9
Brighton Beach,33,82.5,21.0,50.7,9
East Concourse/Concourse Village,55,135.0,21.23,42.11,9
Parkchester,32,78.75,21.26,41.48,9
Marble Hill,13,31.25,21.3,54.19,9
Prospect Heights,253,627.5,22.73,50.75,9
Fort Greene,260,643.75,23.28,48.55,9
Bay Ridge,127,313.75,23.61,59.42,9
Inwood,72,180.0,23.69,49.17,9
Central Harlem North,252,617.5,23.77,42.19,9
Belmont,42,105.0,23.83,46.93,9
Downtown Brooklyn/MetroTech,381,933.75,25.57,48.66,9
Columbia Street,24,58.75,25.84,57.06,9
Borough Park,61,151.25,25.86,61.98,9
East Harlem South,231,565.0,25.97,41.69,9
Kips Bay,284,698.75,26.64,44.45,9
Carroll Gardens,131,323.75,27.63,58.22,9
Cobble Hill,80,200.0,28.41,54.3,9
Lenox Hill East,298,738.75,28.85,48.93,9
Brooklyn Navy Yard,20,48.75,29.35,60.39,9
DUMBO/Vinegar Hill,222,552.5,32.61,53.57,9
South Beach/Dongan Hills,14,35.0,34.04,61.99,9
Oakwood,17,41.25,37.26,63.15,9
Clinton West,342,846.25,37.9,57.28,9
Stapleton,22,55.0,39.3,50.9,9
Saint George/New Brighton,20,50.0,39.68,62.78,9
Heartland Village/Todt Hill,34,85.0,40.06,52.25,9
Hudson Sq,400,995.0,40.71,59.63,9
Times Sq/Theatre District,1937,4821.25,41.95,58.59,9
Great Kills,25,62.5,43.49,63.27,9
West Chelsea/Hudson Yards,536,1330.0,44.35,62.47,9
Battery Park,5,12.5,46.1,59.76,9
Elmhurst/Maspeth,104,250.0,9.67,26.25,7
East New York,327,775.0,9.68,23.59,7
Corona,125,302.5,9.84,22.62,7
Richmond Hill,184,443.75,10.47,20.76,7
Howard Beach,126,305.0,10.67,19.78,7
Old Astoria,215,527.5,10.68,25.14,7
Far Rockaway,111,265.0,11.28,33.72,7
Hollis,52,125.0,12.01,26.35,7
Middle Village,103,253.75,13.06,30.51,7
Auburndale,62,155.0,13.16,30.34,7
Fresh Meadows,44,110.0,13.3,31.64,7
Bay Terrace/Fort Totten,52,128.75,13.32,33.34,7
Bushwick North,328,793.75,13.46,34.93,7
Maspeth,97,241.25,13.66,29.66,7
Glendale,76,190.0,14.07,33.4,7
Kensington,52,130.0,15.33,53.62,7
Crown Heights South,205,493.75,15.55,42.43,7
Madison,54,135.0,17.25,49.97,7
Sunset Park East,37,92.5,17.32,57.69,7
Bronxdale,42,103.75,17.41,46.55,7
Soundview/Bruckner,29,71.25,17.82,35.44,7
Eastchester,57,141.25,17.98,48.23,7
Westchester Village/Unionport,35,86.25,18.11,39.88,7
Pelham Bay Park,2,3.75,18.28,37.72,7
Van Cortlandt Village,67,162.5,18.48,48.77,7
Clinton Hill,361,886.25,18.49,43.93,7
Soundview/Castle Hill,90,222.5,19.87,38.48,7
Schuylerville/Edgewater Park,91,222.5,20.37,41.28,7
Rockaway Park,39,96.25,20.9,44.95,7
Manhattanville,73,178.75,21.02,39.33,7
JFK Airport,19521,47533.75,21.05,56.08,7
Alphabet City,141,347.5,21.98,46.68,7
Pelham Parkway,72,178.75,22.31,43.42,7
Hamilton Heights,202,490.0,22.4,43.0,7
Gowanus,55,137.5,23.2,54.57,7
Washington Heights North,217,536.25,25.3,47.76,7
Green-Wood Cemetery,1,2.5,25.32,33.83,7
Park Slope,442,1096.25,25.36,52.44,7
Two Bridges/Seward Park,222,543.75,26.2,48.67,7
Manhattan Valley,260,636.25,28.12,49.65,7
Yorkville West,408,1005.0,28.43,42.98,7
Brooklyn Heights,311,775.0,28.5,51.8,7
Yorkville East,315,781.25,28.52,41.84,7
Greenwich Village South,225,558.75,30.73,51.0,7
Rossville/Woodrow,12,30.0,31.16,62.76,7
Sutton Place/Turtle Bay North,400,991.25,31.51,47.11,7
Grymes Hill/Clifton,18,45.0,32.19,54.48,7
Financial District South,154,381.25,34.57,57.06,7
Bloomfield/Emerson Hill,43,107.5,34.99,42.55,7
Seaport,182,453.75,35.31,53.2,7
Midtown South,1092,2716.25,36.21,49.3,7
SoHo,282,703.75,36.65,54.14,7
West Village,432,1075.0,36.87,52.33,7
Central Park,63,157.5,38.63,54.65,7
Lincoln Square East,498,1235.0,38.7,57.02,7
Garment District,535,1327.5,39.43,52.35,7
Midtown North,814,2031.25,40.75,56.59,7
Battery Park City,348,868.75,40.84,58.53,7
Charleston/Tottenville,20,50.0,41.72,65.22,7
Midtown Center,1012,2522.5,41.78,56.42,7
Meatpacking/West Village West,284,707.5,42.55,56.6,7
Eltingville/Annadale/Prince's Bay,26,65.0,44.68,55.52,7
Green-Wood Cemetery,1,2.5,-1.32,46.44,5
Elmhurst/Maspeth,103,253.75,8.3,25.22,5
East New York,294,697.5,9.12,22.88,5
Howard Beach,115,270.0,9.54,21.14,5
Middle Village,78,190.0,9.61,31.89,5
Hollis,52,122.5,9.73,26.25,5
Richmond Hill,193,467.5,9.87,21.14,5
Corona,106,253.75,10.12,24.35,5
Old Astoria,226,548.75,10.55,30.23,5
Maspeth,70,170.0,12.21,29.36,5
Glendale,72,176.25,12.33,30.89,5
Bushwick North,319,765.0,12.74,38.2,5
Far Rockaway,72,172.5,12.75,33.98,5
Auburndale,68,163.75,13.88,30.96,5
Sunset Park East,49,118.75,14.03,60.78,5
Crown Heights South,166,403.75,14.59,46.12,5
Kensington,46,112.5,14.87,57.44,5
Fresh Meadows,39,97.5,14.89,32.96,5
Bay Terrace/Fort Totten,48,118.75,15.98,33.9,5
Van Cortlandt Village,43,106.25,16.52,57.38,5
Soundview/Bruckner,32,76.25,16.68,34.52,5
Soundview/Castle Hill,59,137.5,17.31,39.02,5
Rockaway Park,45,112.5,17.33,43.98,5
Eastchester,47,112.5,18.12,45.64,5
Madison,47,117.5,18.31,50.91,5
Clinton Hill,372,915.0,19.07,47.84,5
Bronxdale,36,90.0,19.54,44.48,5
Pelham Parkway,71,175.0,19.75,49.22,5
Westchester Village/Unionport,31,76.25,20.37,37.08,5
Schuylerville/Edgewater Park,92,228.75,20.46,37.74,5
Alphabet City,136,331.25,20.68,49.37,5
Gowanus,88,218.75,21.95,55.21,5
Hamilton Heights,177,430.0,21.97,43.31,5
Park Slope,472,1171.25,22.41,56.57,5
JFK Airport,19795,48452.5,22.44,59.48,5
Washington Heights North,180,445.0,22.87,45.93,5
Two Bridges/Seward Park,230,567.5,23.93,50.84,5
Manhattanville,77,190.0,26.62,52.24,5
Manhattan Valley,263,648.75,27.36,52.84,5
Yorkville East,317,778.75,27.61,44.51,5
Brooklyn Heights,337,836.25,27.77,53.73,5
Pelham Bay Park,2,5.0,28.04,49.44,5
Yorkville West,433,1072.5,28.46,45.9,5
Sutton Place/Turtle Bay North,468,1157.5,29.81,49.08,5
Greenwich Village South,274,676.25,33.44,54.38,5
Seaport,217,541.25,35.08,57.24,5
Bloomfield/Emerson Hill,40,98.75,35.92,47.71,5
West Village,431,1073.75,36.46,55.94,5
Grymes Hill/Clifton,15,37.5,36.73,46.3,5
Rossville/Woodrow,9,22.5,37.24,42.8,5
Financial District South,173,428.75,38.61,62.36,5
Midtown South,1161,2898.75,38.66,53.64,5
Garment District,631,1572.5,38.93,55.6,5
Lincoln Square East,569,1412.5,39.19,61.33,5
SoHo,282,703.75,40.6,58.68,5
Central Park,95,237.5,41.88,66.34,5
Battery Park City,357,888.75,42.51,62.23,5
Midtown Center,1177,2937.5,43.37,59.97,5
Midtown North,924,2303.75,43.4,63.2,5
Meatpacking/West Village West,324,810.0,43.95,65.27,5
Eltingville/Annadale/Prince's Bay,18,45.0,44.8,54.33,5
Charleston/Tottenville,10,25.0,48.49,51.12,5
Randalls Island,4,10.0,2.14,59.65,1
Rosedale,89,212.5,8.71,19.91,1
Astoria Park,2,5.0,8.92,18.32,1
Cypress Hills,97,228.75,9.36,22.33,1
Forest Park/Highland Park,1,2.5,9.79,22.74,1
Hammels/Arverne,51,123.75,9.93,38.46,1
Starrett City,34,77.5,9.97,22.45,1
Jamaica,267,632.5,10.22,20.66,1
Kew Gardens,232,557.5,10.63,21.02,1
Canarsie,184,435.0,10.91,29.84,1
Steinway,228,557.5,11.45,24.59,1
Flushing,307,753.75,11.75,24.33,1
Hillcrest/Pomonok,68,163.75,12.07,26.19,1
Brighton Beach,28,68.75,12.12,46.61,1
Woodhaven,92,223.75,12.14,24.88,1
East Flatbush/Farragut,82,196.25,12.61,39.63,1
Glen Oaks,42,102.5,13.52,35.28,1
Bellerose,41,97.5,14.05,31.88,1
Sheepshead Bay,47,112.5,14.38,43.44,1
Jamaica Estates,69,170.0,14.38,29.74,1
Bayside,55,135.0,15.22,36.29,1
Borough Park,70,172.5,15.37,56.5,1
Whitestone,66,163.75,15.53,32.09,1
Bedford Park,48,118.75,15.73,47.67,1
Long Island City/Queens Plaza,195,481.25,15.79,34.87,1
Douglaston,44,107.5,16.01,34.73,1
Oakland Gardens,48,115.0,16.23,35.78,1
Williamsbridge/Olinville,31,71.25,16.43,48.13,1
Gravesend,24,60.0,16.56,49.62,1
East Concourse/Concourse Village,48,118.75,16.86,35.02,1
Greenpoint,372,918.75,17.32,39.11,1
Midwood,102,251.25,17.46,52.61,1
Fordham South,9,22.5,17.74,44.39,1
West Farms/Bronx River,29,72.5,17.8,36.95,1
Parkchester,33,80.0,17.82,39.08,1
Co-Op City,36,86.25,18.06,41.75,1
Downtown Brooklyn/MetroTech,234,580.0,18.78,43.52,1
Mount Hope,40,95.0,19.71,41.51,1
Fort Greene,197,488.75,20.17,45.49,1
Marble Hill,3,7.5,21.34,57.68,1
Inwood,41,100.0,21.67,47.82,1
Prospect Heights,172,425.0,22.09,44.94,1
Belmont,26,65.0,22.3,37.63,1
Central Harlem North,223,542.5,22.47,38.48,1
Bay Ridge,93,230.0,23.0,55.43,1
East Harlem South,191,468.75,23.12,40.41,1
Carroll Gardens,126,313.75,24.69,52.44,1
Cobble Hill,69,172.5,25.23,53.8,1
Columbia Street,25,61.25,25.72,54.01,1
Kips Bay,259,635.0,25.76,40.61,1
Lenox Hill East,269,667.5,26.57,45.36,1
DUMBO/Vinegar Hill,137,340.0,26.78,45.35,1
Saint George/New Brighton,24,60.0,28.11,55.23,1
South Beach/Dongan Hills,15,37.5,29.05,53.84,1
Stapleton,25,61.25,29.72,56.23,1
Clinton West,286,708.75,33.37,53.93,1
Great Kills,10,25.0,33.64,61.98,1
Battery Park,3,7.5,36.71,47.46,1
Hudson Sq,251,627.5,36.86,52.6,1
Oakwood,6,15.0,37.03,58.81,1
Brooklyn Navy Yard,8,20.0,37.7,54.35,1
Times Sq/Theatre District,1620,4041.25,38.21,54.17,1
Heartland Village/Todt Hill,22,53.75,40.87,57.13,1
West Chelsea/Hudson Yards,496,1232.5,42.72,58.15,1
Green-Wood Cemetery,2,5.0,4.01,68.52,12
Howard Beach,116,268.75,6.92,19.28,12
East New York,259,613.75,8.24,25.01,12
Richmond Hill,171,417.5,8.6,20.78,12
Corona,107,255.0,9.08,23.44,12
