zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Stuyvesant Heights,395,958.75,15.17,38.97,7
Bath Beach,33,80.0,15.24,52.92,7
East Williamsburg,397,976.25,15.42,36.89,7
Homecrest,44,110.0,15.5,51.09,7
Broad Channel,6,13.75,15.85,38.88,7
Prospect-Lefferts Gardens,314,761.25,15.92,44.65,7
Hunts Point,41,97.5,16.4,42.22,7
Melrose South,54,133.75,18.43,40.44,7
Morrisania/Melrose,63,155.0,18.56,37.87,7
Kingsbridge Heights,24,58.75,18.61,46.05,7
Claremont/Bathgate,35,87.5,19.0,45.7,7
Bronx Park,4,10.0,19.47,60.83,7
Highbridge,64,158.75,19.56,41.49,7
University Heights/Morris Heights,57,137.5,19.71,45.75,7
Breezy Point/Fort Tilden/Riis Beach,7,17.5,19.92,54.95,7
Mott Haven/Port Morris,133,331.25,20.25,33.78,7
Longwood,37,90.0,21.35,43.02,7
Williamsburg (North Side),623,1552.5,22.28,42.64,7
Prospect Park,13,31.25,22.9,50.18,7
Inwood Hill Park,3,7.5,23.08,40.89,7
Windsor Terrace,65,160.0,23.34,59.01,7
Stuy Town/Peter Cooper Village,216,531.25,25.05,48.4,7
Boerum Hill,342,852.5,25.48,49.03,7
Chinatown,94,232.5,25.73,50.34,7
Central Harlem,308,761.25,26.6,41.99,7
City Island,14,35.0,26.72,54.01,7
Spuyten Duyvil/Kingsbridge,70,173.75,27.95,52.57,7
Van Cortlandt Park,7,17.5,29.03,61.57,7
Lenox Hill West,463,1147.5,29.42,45.14,7
Mariners Harbor,16,40.0,29.54,42.4,7
Arrochar/Fort Wadsworth,9,22.5,30.35,63.41,7
Gramercy,525,1303.75,31.62,46.64,7
Little Italy/NoLiTa,345,856.25,32.41,51.23,7
Financial District North,557,1385.0,33.29,53.7,7
Upper East Side North,400,997.5,34.11,47.18,7
Arden Heights,16,40.0,34.8,50.56,7
Upper West Side South,489,1211.25,35.42,54.14,7
Clinton East,892,2211.25,35.73,52.24,7
Greenwich Village North,369,920.0,36.77,51.85,7
Westerleigh,15,37.5,36.87,44.81,7
Penn Station/Madison Sq West,535,1332.5,37.12,50.16,7
Union Sq,564,1406.25,39.15,53.5,7
East Chelsea,865,2153.75,39.53,53.02,7
New Dorp/Midland Beach,11,27.5,40.88,61.0,7
South Ozone Park,1193,2867.5,6.18,11.9,6
Springfield Gardens North,241,550.0,6.87,12.41,6
East Elmhurst,274,638.75,7.3,15.18,6
Springfield Gardens South,229,526.25,7.6,14.2,6
Jackson Heights,409,998.75,7.87,20.0,6
Baisley Park,406,945.0,8.1,16.19,6
Ozone Park,103,250.0,8.62,20.04,6
Elmhurst,249,608.75,8.71,23.04,6
Breezy Point/Fort Tilden/Riis Beach,1,2.5,8.77,73.66,6
Briarwood/Jamaica Hills,145,351.25,9.63,22.01,6
East Flushing,39,95.0,10.59,31.52,6
Queens Village,129,297.5,10.73,26.92,6
Cambria Heights,105,253.75,10.77,25.2,6
Murray Hill-Queens,72,177.5,10.93,27.16,6
Brownsville,105,253.75,11.22,32.56,6
Rego Park,101,251.25,11.73,27.78,6
Highbridge Park,4,10.0,12.02,27.51,6
Flatlands,130,312.5,12.59,39.81,6
Forest Hills,339,835.0,12.67,27.23,6
Queensbridge/Ravenswood,67,163.75,12.81,33.66,6
Bensonhurst East,44,110.0,13.76,56.09,6
Erasmus,102,242.5,14.2,45.03,6
Prospect-Lefferts Gardens,306,740.0,15.12,45.81,6
East Williamsburg,371,913.75,15.2,41.01,6
Prospect Park,19,46.25,16.13,54.48,6
Bath Beach,24,57.5,16.25,55.85,6
