from_zone,to_zone,empty_runs_count,avg_distance_miles
Crown Heights North,LaGuardia Airport,359,4.66,6
Outside of NYC,Lenox Hill West,365,15.17,6
Outside of NYC,Sutton Place/Turtle Bay North,369,12.29,6
Outside of NYC,Elmhurst,370,14.17,6
Outside of NYC,Flatiron,372,13.85,6
Outside of NYC,Financial District North,375,14.09,6
Outside of NYC,South Ozone Park,379,13.35,6
Outside of NYC,Mott Haven/Port Morris,379,13.78,6
Outside of NYC,Central Harlem,385,12.84,6
Outside of NYC,Lincoln Square East,386,12.34,6
Outside of NYC,Penn Station/Madison Sq West,391,13.64,6
Outside of NYC,Canarsie,394,12.88,6
Outside of NYC,East Harlem North,395,13.39,6
LaGuardia Airport,Crown Heights North,396,8.4,6
Outside of NYC,Upper East Side North,398,12.44,6
Outside of NYC,Greenwich Village South,399,14.06,6
Outside of NYC,Meatpacking/West Village West,402,13.06,6
Outside of NYC,Fort Greene,403,13.34,6
Outside of NYC,Forest Hills,405,13.39,6
Crown Heights North,JFK Airport,408,5.58,6
Outside of NYC,Jamaica,412,13.21,6
Outside of NYC,Jackson Heights,423,13.72,6
Outside of NYC,Little Italy/NoLiTa,432,13.52,6
Outside of NYC,Long Island City/Hunters Point,444,13.54,6
Outside of NYC,Bedford,445,12.83,6
Outside of NYC,Flatbush/Ditmas Park,447,13.39,6
LaGuardia Airport,JFK Airport,461,10.02,6
Outside of NYC,Stuyvesant Heights,468,12.47,6
Outside of NYC,Gramercy,472,13.58,6
Outside of NYC,Prospect-Lefferts Gardens,480,14.19,6
Outside of NYC,Washington Heights South,482,12.99,6
Outside of NYC,Central Harlem North,490,13.94,6
Outside of NYC,Park Slope,517,14.1,6
Outside of NYC,Midtown East,530,13.28,6
Outside of NYC,Midtown North,537,14.27,6
Outside of NYC,Upper East Side South,540,12.77,6
Outside of NYC,East Williamsburg,541,12.66,6
Outside of NYC,Bushwick North,546,13.18,6
Outside of NYC,Murray Hill,552,14.73,6
Outside of NYC,Astoria,557,13.65,6
Outside of NYC,Greenpoint,609,13.43,6
Outside of NYC,Clinton East,615,13.91,6
Outside of NYC,Williamsburg (South Side),616,11.81,6
Outside of NYC,Midtown South,617,12.9,6
Outside of NYC,Lower East Side,617,14.13,6
Outside of NYC,East New York,624,13.55,6
Outside of NYC,Bushwick South,643,13.25,6
Outside of NYC,Union Sq,643,13.27,6
Outside of NYC,West Village,649,13.73,6
Outside of NYC,Williamsburg (North Side),719,14.05,6
Outside of NYC,West Chelsea/Hudson Yards,727,13.86,6
Outside of NYC,TriBeCa/Civic Center,730,14.13,6
Outside of NYC,Times Sq/Theatre District,735,14.02,6
Outside of NYC,East Chelsea,750,14.3,6
Outside of NYC,Crown Heights North,766,13.41,6
Outside of NYC,Midtown Center,767,14.46,6
Outside of NYC,East Village,810,13.78,6
Outside of NYC,LaGuardia Airport,1085,14.7,6
Outside of NYC,JFK Airport,1086,15.8,6
Outside of NYC,Woodside,313,12.47,12
Outside of NYC,Flatlands,321,12.43,12
Outside of NYC,Hamilton Heights,322,14.21,12
Outside of NYC,UN/Turtle Bay South,324,14.34,12
Outside of NYC,East Concourse/Concourse Village,326,12.73,12
Outside of NYC,Washington Heights North,329,12.2,12
Crown Heights North,LaGuardia Airport,330,5.31,12
LaGuardia Airport,East New York,338,8.46,12
Outside of NYC,Co-Op City,338,13.55,12
Outside of NYC,West Concourse,341,13.55,12
Outside of NYC,Lenox Hill East,346,13.33,12
Outside of NYC,Mount Hope,349,13.78,12
Outside of NYC,Yorkville West,352,14.47,12
Outside of NYC,Bay Ridge,355,13.24,12
LaGuardia Airport,JFK Airport,370,9.87,12
Outside of NYC,Central Harlem,371,13.67,12
Outside of NYC,Borough Park,372,13.96,12
Outside of NYC,Brownsville,378,14.21,12
Outside of NYC,East Harlem South,383,13.07,12
Outside of NYC,Mott Haven/Port Morris,383,13.25,12
Outside of NYC,Garment District,385,15.11,12
Outside of NYC,Boerum Hill,386,13.76,12
Outside of NYC,Greenwich Village North,389,14.86,12
Outside of NYC,SoHo,389,14.57,12
Outside of NYC,Sunnyside,392,12.96,12
Outside of NYC,Financial District North,394,13.62,12
Outside of NYC,Clinton Hill,400,13.72,12
Outside of NYC,Ridgewood,404,12.66,12
Outside of NYC,Flatiron,405,14.52,12
Outside of NYC,Fort Greene,415,13.37,12
Outside of NYC,Sutton Place/Turtle Bay North,418,13.32,12
Outside of NYC,East Harlem North,419,13.3,12
Outside of NYC,Upper West Side South,420,13.73,12
Outside of NYC,Greenwich Village South,421,14.46,12
Outside of NYC,Lenox Hill West,426,14.16,12
Outside of NYC,Flushing,441,13.06,12
Outside of NYC,East Williamsburg,444,13.47,12
Outside of NYC,Little Italy/NoLiTa,449,13.4,12
Outside of NYC,Penn Station/Madison Sq West,452,13.61,12
Outside of NYC,Meatpacking/West Village West,457,13.55,12
Outside of NYC,Lincoln Square East,458,13.36,12
Outside of NYC,South Ozone Park,465,13.68,12
Outside of NYC,Stuyvesant Heights,466,13.34,12
Outside of NYC,Prospect-Lefferts Gardens,468,13.07,12
Outside of NYC,Canarsie,474,13.55,12
Outside of NYC,Upper East Side North,476,12.94,12
Outside of NYC,Forest Hills,488,11.86,12
Outside of NYC,Elmhurst,491,13.79,12
Outside of NYC,Bedford,492,13.54,12
Outside of NYC,Williamsburg (South Side),502,13.32,12
Outside of NYC,Jackson Heights,504,13.51,12
Outside of NYC,Gramercy,515,15.13,12
Outside of NYC,Long Island City/Hunters Point,535,12.8,12
Outside of NYC,Washington Heights South,538,13.11,12
Outside of NYC,Bushwick North,540,13.51,12
Outside of NYC,Central Harlem North,557,13.89,12
Outside of NYC,Midtown East,570,14.05,12
Outside of NYC,Jamaica,574,11.46,12
Outside of NYC,Murray Hill,584,12.7,12
Outside of NYC,Flatbush/Ditmas Park,585,13.17,12
Outside of NYC,Midtown North,595,14.62,12
Outside of NYC,Upper East Side South,612,13.57,12
Outside of NYC,Park Slope,614,13.62,12
Outside of NYC,Greenpoint,619,13.93,12
Outside of NYC,Williamsburg (North Side),626,12.98,12
Outside of NYC,East New York,632,13.0,12
Outside of NYC,Clinton East,634,14.31,12
Outside of NYC,Astoria,639,13.36,12
Outside of NYC,West Village,654,13.7,12
Outside of NYC,Lower East Side,672,13.96,12
Outside of NYC,West Chelsea/Hudson Yards,690,13.73,12
Outside of NYC,Bushwick South,693,13.78,12
Outside of NYC,Midtown South,707,13.62,12
Outside of NYC,TriBeCa/Civic Center,723,14.6,12
Outside of NYC,East Chelsea,758,13.37,12
Outside of NYC,Union Sq,771,14.84,12
Outside of NYC,East Village,809,13.68,12
Outside of NYC,Crown Heights North,814,14.02,12
Outside of NYC,Times Sq/Theatre District,854,14.69,12
Outside of NYC,Midtown Center,893,14.54,12
Outside of NYC,JFK Airport,1165,15.26,12
Outside of NYC,LaGuardia Airport,1169,16.44,12
East Village,JFK Airport,311,6.45,8
Outside of NYC,East Flatbush/Remsen Village,313,14.46,8
Outside of NYC,UN/Turtle Bay South,315,15.36,8
Crown Heights North,East Village,316,4.28,8
Outside of NYC,SoHo,316,11.89,8
Outside of NYC,Flatlands,317,14.35,8
Outside of NYC,Upper East Side North,317,12.48,8
Outside of NYC,Williamsbridge/Olinville,318,12.8,8
Outside of NYC,Lincoln Square East,323,13.12,8
Outside of NYC,Lenox Hill West,329,13.53,8
Outside of NYC,Clinton Hill,330,13.51,8
Outside of NYC,Melrose South,333,13.56,8
LaGuardia Airport,Crown Heights North,334,8.52,8
Outside of NYC,Boerum Hill,339,14.25,8
LaGuardia Airport,East New York,345,8.55,8
Outside of NYC,Clinton West,349,13.84,8
Outside of NYC,Central Harlem,350,13.69,8
Outside of NYC,Penn Station/Madison Sq West,355,13.77,8
Outside of NYC,Garment District,356,12.47,8
Outside of NYC,Fort Greene,358,13.48,8
Outside of NYC,Upper West Side South,360,14.16,8
Bushwick South,JFK Airport,364,5.55,8
Outside of NYC,East Harlem South,365,14.06,8
Outside of NYC,Greenwich Village North,372,13.06,8
Outside of NYC,Forest Hills,377,13.03,8
Outside of NYC,Greenwich Village South,378,13.83,8
Outside of NYC,Flatiron,378,13.4,8
Crown Heights North,LaGuardia Airport,384,4.97,8
Outside of NYC,Ridgewood,389,12.7,8
Crown Heights North,JFK Airport,392,5.92,8
Outside of NYC,Mott Haven/Port Morris,399,13.19,8
Outside of NYC,Little Italy/NoLiTa,400,13.14,8
Outside of NYC,Jackson Heights,406,14.44,8
Outside of NYC,Brownsville,410,14.58,8
Outside of NYC,Financial District North,414,13.54,8
Outside of NYC,Washington Heights South,418,12.84,8
Outside of NYC,Canarsie,419,13.13,8
Outside of NYC,East Harlem North,423,14.43,8
Outside of NYC,South Ozone Park,425,13.92,8
Outside of NYC,Flatbush/Ditmas Park,425,12.84,8
Outside of NYC,Jamaica,428,13.72,8
Outside of NYC,Elmhurst,437,13.1,8
Outside of NYC,Upper East Side South,442,13.67,8
Outside of NYC,Midtown North,449,13.71,8
Outside of NYC,East Williamsburg,455,13.31,8
Outside of NYC,Bushwick North,473,14.69,8
Outside of NYC,Clinton East,478,14.67,8
Outside of NYC,Long Island City/Hunters Point,480,14.13,8
Outside of NYC,Prospect-Lefferts Gardens,481,14.8,8
Outside of NYC,Park Slope,491,12.61,8
Outside of NYC,Bedford,513,13.77,8
Outside of NYC,Astoria,515,14.0,8
Outside of NYC,Midtown East,518,13.06,8
Outside of NYC,Stuyvesant Heights,522,13.0,8
Outside of NYC,Murray Hill,533,14.08,8
Outside of NYC,Gramercy,545,11.55,8
Outside of NYC,Williamsburg (South Side),558,12.48,8
Outside of NYC,Central Harlem North,565,13.62,8
Outside of NYC,West Village,569,13.99,8
Outside of NYC,Union Sq,572,12.53,8
LaGuardia Airport,JFK Airport,585,9.92,8
Outside of NYC,TriBeCa/Civic Center,594,13.51,8
Outside of NYC,Lower East Side,597,13.74,8
Outside of NYC,Midtown South,606,12.94,8
Outside of NYC,Greenpoint,608,12.85,8
Outside of NYC,West Chelsea/Hudson Yards,611,13.53,8
Outside of NYC,East New York,656,13.13,8
Outside of NYC,Williamsburg (North Side),674,14.15,8
Outside of NYC,Bushwick South,692,14.3,8
Outside of NYC,East Chelsea,711,13.43,8
Outside of NYC,Times Sq/Theatre District,745,14.76,8
Outside of NYC,Midtown Center,750,13.7,8
Outside of NYC,Crown Heights North,751,13.23,8
Outside of NYC,East Village,800,13.68,8
Outside of NYC,LaGuardia Airport,1215,15.28,8
Outside of NYC,JFK Airport,1216,16.04,8
LaGuardia Airport,TriBeCa/Civic Center,313,8.64,7
Outside of NYC,Kips Bay,314,12.96,7
Outside of NYC,Clinton West,315,13.25,7
Outside of NYC,Financial District North,316,13.69,7
Astoria,JFK Airport,319,7.21,7
Outside of NYC,Mott Haven/Port Morris,320,14.8,7
Outside of NYC,SoHo,324,14.33,7
LaGuardia Airport,Times Sq/Theatre District,325,8.55,7
Outside of NYC,Forest Hills,325,14.18,7
Outside of NYC,Sutton Place/Turtle Bay North,326,14.17,7
Outside of NYC,Lenox Hill West,328,13.71,7
Outside of NYC,Greenwich Village North,330,14.11,7
Outside of NYC,UN/Turtle Bay South,330,13.3,7
Bushwick South,JFK Airport,330,6.76,7
Outside of NYC,Penn Station/Madison Sq West,332,14.06,7
Outside of NYC,Battery Park City,339,13.51,7
East Village,LaGuardia Airport,341,5.0,7
Outside of NYC,Clinton Hill,342,13.22,7
Outside of NYC,Fort Greene,349,13.91,7
Outside of NYC,Upper West Side South,349,12.78,7
Outside of NYC,Brownsville,353,12.73,7
Outside of NYC,Ridgewood,353,15.1,7
Outside of NYC,Sunnyside,359,11.35,7
Outside of NYC,Greenwich Village South,361,14.92,7
LaGuardia Airport,Crown Heights North,365,8.29,7
Outside of NYC,Washington Heights South,368,14.09,7
Outside of NYC,East Harlem South,371,13.12,7
Crown Heights North,LaGuardia Airport,372,4.3,7
LaGuardia Airport,East New York,372,8.09,7
Outside of NYC,Garment District,374,13.4,7
Outside of NYC,Elmhurst,377,13.47,7
Outside of NYC,South Ozone Park,381,12.45,7
Outside of NYC,East Harlem North,385,13.34,7
Outside of NYC,Meatpacking/West Village West,396,13.55,7
Outside of NYC,Upper East Side South,398,12.81,7
Outside of NYC,Jamaica,403,13.77,7
Outside of NYC,Prospect-Lefferts Gardens,408,14.17,7
Outside of NYC,Flatbush/Ditmas Park,420,12.48,7
Outside of NYC,Flatiron,431,13.64,7
Crown Heights North,JFK Airport,432,6.05,7
Outside of NYC,Park Slope,434,13.8,7
Outside of NYC,Canarsie,435,12.82,7
Outside of NYC,Gramercy,437,12.85,7
Outside of NYC,Little Italy/NoLiTa,438,13.96,7
Outside of NYC,East Williamsburg,445,13.23,7
Outside of NYC,Jackson Heights,452,13.85,7
Outside of NYC,Williamsburg (South Side),453,14.03,7
Outside of NYC,Long Island City/Hunters Point,465,13.44,7
Outside of NYC,Bushwick North,470,14.13,7
Outside of NYC,Stuyvesant Heights,476,12.23,7
Outside of NYC,Central Harlem North,478,14.12,7
Outside of NYC,Murray Hill,493,13.53,7
Outside of NYC,Midtown East,497,14.22,7
Outside of NYC,Bedford,512,14.09,7
Outside of NYC,West Village,533,12.9,7
Outside of NYC,Clinton East,543,13.93,7
Outside of NYC,Midtown North,547,13.25,7
Outside of NYC,Williamsburg (North Side),565,12.84,7
LaGuardia Airport,JFK Airport,565,9.51,7
Outside of NYC,Astoria,588,12.85,7
Outside of NYC,Greenpoint,607,14.34,7
Outside of NYC,Lower East Side,610,13.41,7
Outside of NYC,Bushwick South,615,13.89,7
Outside of NYC,East New York,621,13.27,7
Outside of NYC,West Chelsea/Hudson Yards,640,13.95,7
Outside of NYC,Union Sq,654,13.85,7
Outside of NYC,TriBeCa/Civic Center,654,13.83,7
Outside of NYC,Midtown South,659,14.08,7
Outside of NYC,East Chelsea,665,13.86,7
Outside of NYC,Crown Heights North,764,12.57,7
Outside of NYC,East Village,819,13.76,7
Outside of NYC,Times Sq/Theatre District,833,13.65,7
Outside of NYC,Midtown Center,839,14.73,7
Outside of NYC,JFK Airport,1206,16.52,7
Outside of NYC,LaGuardia Airport,1213,14.35,7
Outside of NYC,Fort Greene,311,12.75,2
Outside of NYC,Garment District,311,13.36,2
Outside of NYC,Lincoln Square West,312,12.53,2
Outside of NYC,UN/Turtle Bay South,313,12.31,2
Outside of NYC,East Concourse/Concourse Village,315,14.61,2
Outside of NYC,SoHo,317,12.78,2
Outside of NYC,Yorkville West,317,12.21,2
Outside of NYC,Sutton Place/Turtle Bay North,324,13.55,2
Crown Heights North,East Village,324,4.24,2
LaGuardia Airport,Crown Heights North,330,8.64,2
East Village,JFK Airport,330,5.65,2
Crown Heights North,LaGuardia Airport,330,5.42,2
Outside of NYC,South Ozone Park,332,12.43,2
Outside of NYC,Penn Station/Madison Sq West,342,14.3,2
Outside of NYC,Lenox Hill East,345,13.46,2
Outside of NYC,Lenox Hill West,346,12.89,2
Outside of NYC,Financial District North,347,12.88,2
Outside of NYC,Boerum Hill,359,12.46,2
Outside of NYC,Jamaica,361,12.55,2
Outside of NYC,Central Harlem,363,13.18,2
Outside of NYC,Clinton Hill,365,12.27,2
Outside of NYC,Meatpacking/West Village West,366,13.13,2
